chemical,amount,agency,contractor
Corrosion,401.6,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,2406.34,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,71.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"40,250.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,165.24,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,7.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,93.23,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,233.08,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,233.56,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,173.1,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,219,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,130.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,125.04,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,7219.02,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1490.72,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,71.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,36.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"2,926.74",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,165.07,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,163.58,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,71.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,126.2,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1570.25,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,141.87,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"1,951.16",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"21,462.76",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,553.5,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"1,418.40",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,73.81,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,130.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,3609.51,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,93.23,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,93.23,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,124.61,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Salt / Reagent,296.76,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1052.88,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,628.1,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,126.2,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,11.21,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,71.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,17.63,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"2,210.38",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,71.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,76.56,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,92.25,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,461.25,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"40,250.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"40,250.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"40,250.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"40,250.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"40,250.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,156.81,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,147.62,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,125.73,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,97.22,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,553.5,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"2,926.74",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,65,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,5796.75,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,211.49,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,46.56,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,143.94,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,5962.88,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,316.32,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,4744.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,6518.4,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,25.9,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,314.05,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,120.07,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,369.05,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,600.35,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"5,894.64",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"1,588.52",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,709.2,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"40,250.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,25.94,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1247.72,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,163.58,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,85.49,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,85.49,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,85.49,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,960.56,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,130.98,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1934.72,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,40.16,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,304.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,40.16,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,483.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1979.47,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,163.58,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,304.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,304.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,486.1,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,35.3,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,163.58,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,147.23,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,14.86,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,609.6,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,269.49,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,575.76,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,275.34,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,17.63,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,254.16,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,112.29,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,55.88,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,12.5,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,789.66,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,142.24,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,256.47,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,87.18,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,784.62,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,769.41,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,28.24,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,369.7,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,401.6,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,256.47,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"40,250.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,496.44,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,163.58,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,112.53,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,314.05,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,304.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,184.85,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,200.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,112.29,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,73.81,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,89.83,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,425.61,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,914.4,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,90.69,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,276.75,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"1,463.37",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,211.49,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,85.49,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,92.25,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,112.29,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,265.98,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,73.81,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,8983,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,126.2,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,163.58,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,147.62,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,449.15,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,28.72,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,112.29,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,22.42,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,8627.52,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,5751.68,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"40,250.00",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,304.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1077.96,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,44.84,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,28.72,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,112.29,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,92.1,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,9.71,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,304.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,28.72,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,17.63,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,56.05,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,40.16,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,92.25,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,62.15,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,85.49,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,184.5,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,163.58,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,288.75,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,77,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,112.29,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,284.48,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,284.48,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,65.49,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,65.49,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,142.24,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,142.24,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,85.49,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,179.66,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,1025.88,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,248.6,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,3.53,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,36.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,92.25,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,314.05,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,40.16,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,39,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,11.21,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,163.58,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,179.66,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,112.29,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,284.74,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,41.91,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,265.98,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,17.63,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,87.18,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,21.83,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,36.97,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,147.62,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,784.05,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,28.72,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,89.83,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,745.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,126.2,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,187.08,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,62.15,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,62.15,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,62.15,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,62.15,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,62.15,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,120.07,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,120.48,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,579.22,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,110.91,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,40.16,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,147.62,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,9.65,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,168.15,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,3212.8,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,538.98,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,62.4,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,163.58,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Anti-icing / Deicing product,"2,453.88",DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,240.14,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,163.58,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,76.3,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,283.74,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,369.7,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,73.81,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,73.81,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,124.3,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,830.25,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,47.53,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
Corrosion,673.04,DEFENSE LOGISTICS AGENCY,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
